2022-04-25 12:25:08,269 [main] INFO  [com.SpringbootSchemaApplication] StartupInfoLogger.java:55 - Starting SpringbootSchemaApplication on LAPTOP-UAD91SA9 with PID 12360 (F:\bishe\springboot3if68\target\classes started by ³ÂÈñ in F:\bishe\springboot3if68)
2022-04-25 12:25:08,286 [main] INFO  [com.SpringbootSchemaApplication] SpringApplication.java:651 - No active profile set, falling back to default profiles: default
2022-04-25 12:25:10,658 [main] INFO  [o.s.boot.web.embedded.tomcat.TomcatWebServer] TomcatWebServer.java:92 - Tomcat initialized with port(s): 8081 (http)
2022-04-25 12:25:10,664 [main] INFO  [org.apache.coyote.http11.Http11NioProtocol] DirectJDKLog.java:173 - Initializing ProtocolHandler ["http-nio-8081"]
2022-04-25 12:25:10,664 [main] INFO  [org.apache.catalina.core.StandardService] DirectJDKLog.java:173 - Starting service [Tomcat]
2022-04-25 12:25:10,665 [main] INFO  [org.apache.catalina.core.StandardEngine] DirectJDKLog.java:173 - Starting Servlet engine: [Apache Tomcat/9.0.29]
2022-04-25 12:25:10,752 [main] INFO  [o.a.c.c.C.[Tomcat].[localhost].[/springboot3if68]] DirectJDKLog.java:173 - Initializing Spring embedded WebApplicationContext
2022-04-25 12:25:10,753 [main] INFO  [org.springframework.web.context.ContextLoader] ServletWebServerApplicationContext.java:284 - Root WebApplicationContext: initialization completed in 2389 ms
2022-04-25 12:25:10,868 [main] INFO  [c.a.d.s.b.a.DruidDataSourceAutoConfigure] DruidDataSourceAutoConfigure.java:56 - Init DruidDataSource
2022-04-25 12:25:11,053 [main] INFO  [com.alibaba.druid.pool.DruidDataSource] DruidDataSource.java:971 - {dataSource-1} inited
2022-04-25 12:25:11,697 [main] INFO  [org.apache.coyote.http11.Http11NioProtocol] DirectJDKLog.java:173 - Starting ProtocolHandler ["http-nio-8081"]
2022-04-25 12:25:11,715 [main] INFO  [o.s.boot.web.embedded.tomcat.TomcatWebServer] TomcatWebServer.java:204 - Tomcat started on port(s): 8081 (http) with context path '/springboot3if68'
2022-04-25 12:25:11,718 [main] INFO  [com.SpringbootSchemaApplication] StartupInfoLogger.java:61 - Started SpringbootSchemaApplication in 3.897 seconds (JVM running for 4.752)
